name,chineseName,price,description,category,chineseCategory,location,id,foodCategory,img_url
Vanilla Milk Tea,香草奶茶,5.75,,Milk Tea,奶茶,3,14,drink,
Longan Honey Milk Tea,龙眼蜂蜜绿茶,5.75,,Milk Tea,奶茶,3,15,drink,
Brulee Ice Cream Milk Tea,冰淇淋布蕾蛋糕奶茶,6.95,,Milk Tea,奶茶,3,18,drink,
Coconut Smoothie ,椰香冰沙,5.75,,Smoothie,冰沙,3,39,drink,
Honeydew Smoothie,哈密瓜冰沙,5.75,,Smoothie,冰沙,3,40,drink,
Vanilla Smoothie ,香草冰沙,5.75,,Smoothie,冰沙,3,42,drink,
Mix Smoothies ,综合冰沙,5.75,"Can mix: Mango 芒果, Pineapple 菠萝, Strawberry 草莓, Passion Fruit 百香果",Smoothie,冰沙,3,43,drink,
Passion Fruit Tea ,百香果茶,6.25,,Fruit Tea,水果茶,3,49,drink,
Lychee Green Tea ,荔枝绿茶,6.25,,Fruit Tea,水果茶,3,51,drink,
Kumquat Lemon Tea ,金桔柠檬,6.25,,Fruit Tea,水果茶,3,52,drink,
Mix Fruit Tea ,综合水果茶,6.25,"Can mix: Mango 芒果, Pineapple 菠萝, Strawberry 草莓, Passion Fruit 百香果",Fruit Tea,水果茶,3,54,drink,
Brown Sugar Babo Milk (Small) ,烈焰黑糖鲜奶,6.0,"Brown Sugar Tapioca with Organic Whole Milk, Cheese Foam and Torched Brown Sugar",Milk Tea,奶茶,3,22,drink,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Brown_Sugar_Babo_Milk(small&large).jpg?t=2023-10-26T20%3A51%3A27.335Z
Brown Sugar Bubble Milk Tea (Small) ,黑糖脏脏茶,5.75,Fresh Homemade Brown Sugar Combined with Signature Milk Black Tea and Tapioca,Milk Tea,奶茶,3,20,drink,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Brown_Sugar_Bubble_Milk_Tea(small&large).jpg?t=2023-10-26T20%3A51%3A58.383Z
Chai Latte,印度拿铁,5.0,,Milk Tea,奶茶,3,16,drink,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Chai_Latte.jpg
Coconut Milk Tea,椰香奶茶,5.75,,Milk Tea,奶茶,3,9,drink,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Coconut_Milk_Tea.jpg
Grapefruit & Passion Fruit Tea ,西柚百香,6.25,,Fruit Tea,水果茶,3,48,drink,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Grapefruit&Passion_Fruit_Tea.jpg
Grapefruit Yogurt ,西柚多多,5.75,,Yogurt,鲜果多多,3,32,drink,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Grapefruit_Yogurt.jpg
Hawaii Milk Tea,夏威夷奶茶,5.75,,Milk Tea,奶茶,3,13,drink,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Hawaii_Milk_Tea.jpg
King of Oolong Tea w/ Cheese Foam ,金凤茶王,5.75,,Freshly Brewed Tea w. Cheese Foam,芝士奶盖现萃茶,3,26,drink,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/King_of_Oolong_Tea%20W.cheese_Foam.jpg?t=2023-10-26T20%3A58%3A32.489Z
Kiwi Fruit Tea ,奇异果茶,6.25,,Fruit Tea,水果茶,3,53,drink,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Kiwi_Fruit_Tea.jpg?t=2023-10-26T20%3A58%3A50.466Z
Lychee & Dragonfruit Tea ,荔枝火龙果茶,6.25,,Fruit Tea,水果茶,3,50,drink,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Lychee&Dragonfruit_Tea.jpg
Mango Smoothie ,芒果冰沙,5.75,,Smoothie,冰沙,3,33,drink,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Mango_Pomelo_Sago.jpg
Matcha Latte,抹茶拿铁,5.75,,Milk Tea,奶茶,3,8,drink,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Matcha_Latte.jpg?t=2023-10-26T21%3A04%3A23.965Z
Osmanthus Oolong Milk Tea,桂花乌龙奶茶,5.75,,Milk Tea,奶茶,3,11,drink,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Osmanthus_Oolong_Milk_Tea.jpg
Peach Oolong Milk Tea,白桃乌龙奶茶,5.75,,Milk Tea,奶茶,3,12,drink,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Peach_Oolong_Milk_Tea.jpg
Pineapple Green Tea ,鹿岛凤梨,6.25,,Fruit Tea,水果茶,3,45,drink,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Pineapple_Green_Tea.jpg?t=2023-10-26T21%3A06%3A57.859Z
Pomelo Mojito ,红柚迷迭香,6.5,Grapefruit green tea,Face Tea Special,肥宅特饮,3,55,drink,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Pomelo_Mojito.jpg?t=2023-10-26T21%3A07%3A24.039Z
Thai Tea,泰式奶茶,5.5,,Milk Tea,奶茶,3,5,drink,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Thai_Tea.jpg
Sakura Oolong Milk Tea ,樱花乌龙奶茶,5.75,,Milk Tea,奶茶,3,10,drink,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Sakura_Oolong_Milk_Tea.jpg
Sakura Oolong Tea w/ Cheese Foam,樱花乌龙,5.75,,Freshly Brewed Tea w. Cheese Foam,芝士奶盖现萃茶,3,28,drink,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Sakura_Oolong_Tea_W.cheese_Foam.jpg
Strawberry Yogurt ,草莓多多,5.75,,Yogurt,鲜果多多,3,30,drink,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Strawberry_Yogurt.jpg
Taro Smoothie,芋香冰沙,5.75,,Smoothie,冰沙,3,37,drink,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Taro_Smoothie.jpg?t=2023-10-26T21%3A11%3A04.432Z
Super Fruit Tea ,超级水果杯,6.5,,Fruit Tea,水果茶,3,44,drink,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Super_Fruit_Tea.jpg?t=2023-10-26T21%3A11%3A56.907Z
Yogurt Avocado Smoothie ,牛油果厚乳酪,6.75,,Face Tea Special,肥宅特饮,3,57,drink,https://wwvlemerrmdrbopunhwq.supabase.co/storage/v1/object/public/menu_img/Food_Images/Yogurt_Avocado_Smoothie.jpg?t=2023-10-26T21%3A13%3A05.142Z
Matcha Matcha ,抹茶雪顶,6.5,Matcha smoothie topped with whipped cream and strawberry slices,Face Tea Special,肥宅特饮,3,60,drink,
Coconut Cloud ,椰汁西米露,6.95,Coconut and milk smoothie w/ lychee jelly and sago,Face Tea Special,肥宅特饮,3,68,drink,
Ice Latte (Small) ,冰拿铁（小杯）,4.5,,Coffee,咖啡,3,72,drink,
Ice Latte (Large) ,冰拿铁（大杯）,5.5,,Coffee,咖啡,3,73,drink,
Cappuccino (Small) ,卡布奇诺（小杯）,4.5,,Coffee,咖啡,3,74,drink,
Cappuccino (Large) ,卡布奇诺（大杯）,5.5,,Coffee,咖啡,3,75,drink,
Mocha Coffee (Small) ,摩卡（小）,5.0,,Coffee,咖啡,3,76,drink,
Mocha Coffee (Large) ,摩卡（大）,6.0,,Coffee,咖啡,3,77,drink,
Brulee Ice Cream Coffee ,冰淇淋布蕾咖啡,6.95,,Coffee,咖啡,3,78,drink,
Chicken Nuggets ,上校鸡块,4.5,,Snacks,小吃,1,81,food,
Tiramisu ,提拉米苏,3.75,,Snacks,小吃,1,82,food,
Takoyaki,章鱼小丸子,7.5,,Snacks,小吃,3,83,food,
Japanese Sausage (6pc),,6.0,,Snacks,小吃,3,84,food,
Spring Roll (2pc),,3.95,Fried vegetable spring rolls,Snacks,小吃,2,85,food,
Steam Dumpings (6pc),,6.95,Pork & vegetable,Snacks,小吃,2,86,food,
Fried Dumpings (6pc),,6.95,Pork & vegetable,Snacks,小吃,2,87,food,
Create Your Own Bowl (Regular),,13.95,,Poke Bowl,,2,88,food,
Create Your Own Bowl (Large),,15.95,,Poke Bowl,,2,89,food,
Tuna Lover,,14.5,"Tuna, Spicy Tuna, Cucumber, Edamame, Tomato, Onion, Avocado, Crispy Onion, Eel Sauce, Spicy Mayo",Poke Bowl,,2,90,food,
Salmon Lover,,14.5,"Salmon, Spicy Salmon, Sweet Corn, Pickled Radish & Carrot, Edamame, Pineapple, Avocado, Rice Crackers, Spicy Mayo",Poke Bowl,,2,91,food,
Hawaii Bowl,,14.5,"Shrimp, Chicken, Pineapple, Sweet Corn, Mango, Pickled Radish & Carrot, Crabmeat Salad, Rice Seasoning, Mango Sauce",Poke Bowl,,2,92,food,
Vegetarian Bowl,,14.5,"Tofu, Cucumber, Edamame, Tomato, Pickled Radish & Carrot, Avocado, Onion, Sesame Seed, Poke Sauce",Poke Bowl,,2,93,food,
Spicy Ginger Chicken,,14.5,"Chicken, Cucumber, Tomato, Edamame, Sushi Ginger, Shredded Seaweed,Avocado, Jalapeno, Poke Sauce, Sriracha Sauce",Poke Bowl,,2,94,food,
Tuna,,,,Poke Toppings,,2,95,toppings,
Salmon Lover,,,,Poke Toppings,,2,96,toppings,
Spicy Tuna,,,,Poke Toppings,,2,97,toppings,
Spicy Salmon,,,,Poke Toppings,,2,98,toppings,
Scallop,,,,Poke Toppings,,2,99,toppings,
Shrimp,,,,Poke Toppings,,2,100,toppings,
Chicken,,,,Poke Toppings,,2,101,toppings,
Tofu,,,,Poke Toppings,,2,102,toppings,
Onion,,,,Poke Toppings,,2,103,toppings,
Tomato,,,,Poke Toppings,,2,104,toppings,
Jalapeno,,,,Poke Toppings,,2,105,toppings,
Green Onion,,,,Poke Toppings,,2,106,toppings,
Cucumber,,,,Poke Toppings,,2,107,toppings,
Pineapple,,,,Poke Toppings,,2,108,toppings,
Sweet Corn,,,,Poke Toppings,,2,109,toppings,
Cream Cheese,,,,Poke Toppings,,2,110,toppings,
Edamame,,,,Poke Toppings,,2,111,toppings,
Cilantro,,,,Poke Toppings,,2,112,toppings,
Avocado,,1.5,,Poke Toppings,,2,113,toppings,
Crabmeat Salad,,1.5,,Poke Toppings,,2,114,toppings,
